Master process running on gpu16
Directory is /data/sgoswam4/Time-stepper/FitzHugh-Nagumo/fno_multiparameter
Starting execution at Tue Nov 26 18:01:26 EST 2024
Current PATH is /data/apps/linux-centos8-cascadelake/gcc-9.3.0/git-2.28.0-uh6lz2zi2m3rwkfujclkz2qrtm6awu6s/bin:/data/apps/linux-centos8-cascadelake/gcc-9.3.0/openmpi-3.1.6-rk3nyoehbq3pke4zy4hn7unns3ujtutx/bin:/data/apps/linux-centos8-cascadelake/gcc-9.2.0/gcc-9.3.0-bnvby67rgbqevwsd264rgz44xucnkhpm/bin:/data/apps/extern/python/envs/jupyterlab/3.4.5/bin:/data/apps/extern/spack_on/gcc/9.3.0/lua/5.4.4-njaqalolk5jksjkvmuvz5dz3hsfkzofi/bin:/data/apps/helpers:/cm/shared/apps/slurm/current/sbin:/cm/shared/apps/slurm/current/bin:/home/sgoswam4/.local/bin:/home/sgoswam4/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin
Epoch: 179, time: 3.930, Train Loss: 2.895e-02, Test Loss: 0.0000
Epoch: 180, time: 3.954, Train Loss: 2.892e-02, Test Loss: 0.0000
Epoch: 181, time: 3.884, Train Loss: 2.889e-02, Test Loss: 0.0000
Epoch: 182, time: 3.967, Train Loss: 2.887e-02, Test Loss: 0.0000
Epoch: 183, time: 3.962, Train Loss: 2.884e-02, Test Loss: 0.0000
Epoch: 184, time: 3.881, Train Loss: 2.881e-02, Test Loss: 0.0000
Epoch: 185, time: 3.939, Train Loss: 2.879e-02, Test Loss: 0.0000
Epoch: 186, time: 3.927, Train Loss: 2.876e-02, Test Loss: 0.0000
Epoch: 187, time: 4.013, Train Loss: 2.873e-02, Test Loss: 0.0000
Epoch: 188, time: 3.947, Train Loss: 2.871e-02, Test Loss: 0.0000
Epoch: 189, time: 3.876, Train Loss: 2.868e-02, Test Loss: 0.0000
Epoch: 190, time: 3.965, Train Loss: 2.865e-02, Test Loss: 0.0000
Epoch: 191, time: 3.946, Train Loss: 2.863e-02, Test Loss: 0.0000
Epoch: 192, time: 3.903, Train Loss: 2.860e-02, Test Loss: 0.0000
Epoch: 193, time: 3.970, Train Loss: 2.858e-02, Test Loss: 0.0000
Epoch: 194, time: 3.943, Train Loss: 2.855e-02, Test Loss: 0.0000
Epoch: 195, time: 3.938, Train Loss: 2.853e-02, Test Loss: 0.0000
Epoch: 196, time: 4.019, Train Loss: 2.850e-02, Test Loss: 0.0000
Epoch: 197, time: 3.857, Train Loss: 2.848e-02, Test Loss: 0.0000
Epoch: 198, time: 3.933, Train Loss: 2.845e-02, Test Loss: 0.0000
Epoch: 199, time: 3.940, Train Loss: 2.842e-02, Test Loss: 0.0000
Epoch: 200, time: 3.874, Train Loss: 2.840e-02, Test Loss: 0.0000
Epoch: 201, time: 3.952, Train Loss: 2.839e-02, Test Loss: 0.0000
Epoch: 202, time: 4.001, Train Loss: 2.837e-02, Test Loss: 0.0000
Epoch: 203, time: 3.919, Train Loss: 2.836e-02, Test Loss: 0.0000
Epoch: 204, time: 3.987, Train Loss: 2.835e-02, Test Loss: 0.0000
Epoch: 205, time: 3.906, Train Loss: 2.834e-02, Test Loss: 0.0000
Epoch: 206, time: 3.935, Train Loss: 2.833e-02, Test Loss: 0.0000
Epoch: 207, time: 3.955, Train Loss: 2.831e-02, Test Loss: 0.0000
Epoch: 208, time: 3.910, Train Loss: 2.830e-02, Test Loss: 0.0000
Epoch: 209, time: 3.935, Train Loss: 2.829e-02, Test Loss: 0.0000
Epoch: 210, time: 3.945, Train Loss: 2.828e-02, Test Loss: 0.0000
Epoch: 211, time: 3.884, Train Loss: 2.826e-02, Test Loss: 0.0000
Epoch: 212, time: 3.936, Train Loss: 2.825e-02, Test Loss: 0.0000
Epoch: 213, time: 3.840, Train Loss: 2.824e-02, Test Loss: 0.0000
Epoch: 214, time: 3.956, Train Loss: 2.823e-02, Test Loss: 0.0000
Epoch: 215, time: 3.942, Train Loss: 2.822e-02, Test Loss: 0.0000
Epoch: 216, time: 3.940, Train Loss: 2.820e-02, Test Loss: 0.0000
Epoch: 217, time: 3.920, Train Loss: 2.819e-02, Test Loss: 0.0000
Epoch: 218, time: 3.932, Train Loss: 2.818e-02, Test Loss: 0.0000
Epoch: 219, time: 3.831, Train Loss: 2.817e-02, Test Loss: 0.0000
Epoch: 220, time: 3.971, Train Loss: 2.816e-02, Test Loss: 0.0000
Epoch: 221, time: 3.974, Train Loss: 2.814e-02, Test Loss: 0.0000
Epoch: 222, time: 3.843, Train Loss: 2.813e-02, Test Loss: 0.0000
Epoch: 223, time: 3.942, Train Loss: 2.812e-02, Test Loss: 0.0000
